Brand,Model,Price,Year,KM,City
BMW,5 Serisi,1.070.000 TL,2012,319.200,Antalya/Konyaaltı
Citroen,AMI,370.000 TL,2023,6.001,İstanbul/Pendik
BMW,5 Serisi,1.175.000 TL,2012,252.000,İstanbul/Kağıthane
Skoda,Octavia,960.000 TL,2016,204.000,Van/Tuşba
Toyota,Corolla,739.750 TL,2014,223.000,Kocaeli/Derince
Ford,Focus,779.000 TL,2015,167.000,Ankara/Yenimahalle
Peugeot,508,820.000 TL,2016,240.000,Tekirdağ/Süleymanpaşa
Renault,Megane,895.000 TL,2020,160.000,İstanbul/Maltepe
Ford,Focus,1.129.750 TL,2020,102.000,Aksaray/Merkez
Citroen,AMI,315.000 TL,2022,10.500,Kayseri/Kocasinan
Renault,Clio,675.000 TL,2022,80.000,Tekirdağ/Hayrabolu
BMW,3 Serisi,1.100.000 TL,2014,198.000,Ankara/Yenimahalle
Mercedes-Benz,S Serisi,6.750.000 TL,2018,178.000,İstanbul/Bağcılar
BMW,3 Serisi,1.165.000 TL,2013,195.000,Muğla/Bodrum
Fiat,Linea,354.900 TL,2010,356.000,Ankara/Akyurt
Peugeot,206,347.000 TL,2006,238.000,İstanbul/Bağcılar
Renault,Megane,1.189.000 TL,2020,89.000,İstanbul/Esenyurt
Toyota,Corolla,1.219.000 TL,2020,47.000,İstanbul/Esenyurt
Toyota,Corolla,280.000 TL,1999,320.000,Tekirdağ/Süleymanpaşa
Honda,City,864.950 TL,2022,35.000,İstanbul/Esenyurt
Renault,Megane,819.000 TL,2018,219.300,Bursa/İnegöl
Renault,Megane,1.137.000 TL,2020,118.000,İstanbul/Esenyurt
Audi,A3,820.000 TL,2012,210.000,Düzce/Merkez
BMW,1 Serisi,1.015.000 TL,2015,189.000,Bursa/Gemlik
Renault,Clio,730.000 TL,2016,183.000,Antalya/Serik
Nissan,Micra,870.000 TL,2020,62.500,Kırıkkale/Merkez
Peugeot,301,639.900 TL,2014,73.000,Ankara/Keçiören
Hyundai,Elantra,725.000 TL,2014,169.500,Kocaeli/Gebze
Toyota,Corolla,1.167.000 TL,2020,62.000,İstanbul/Esenyurt
Peugeot,308,397.500 TL,2008,162.000,İstanbul/Beylikdüzü
Hyundai,i20,849.000 TL,2015,97.000,Kocaeli/Gebze
Skoda,Superb,1.235.000 TL,2018,154.000,İstanbul/Esenyurt
Hyundai,i20,1.082.500 TL,2024,8.000,Kocaeli/Körfez
Nissan,Micra,435.000 TL,2011,165.000,İstanbul/Ataşehir
Mercedes-Benz,E Serisi,4.250.000 TL,2021,65.000,İstanbul/Ümraniye
Mercedes-Benz,C Serisi,1.110.000 TL,2013,234.000,Ankara/Sincan
Audi,A3,1.152.500 TL,2016,170.000,Ankara/Sincan
BMW,5 Serisi,1.150.000 TL,2012,293.000,Ankara/Sincan
Volkswagen,Polo,665.000 TL,2010,208.200,Osmaniye/Merkez
Mercedes-Benz,C Serisi,2.950.000 TL,2022,70.000,Bursa/Yıldırım
Hyundai,i20,925.000 TL,2016,54.000,Muğla/Milas
BMW,3 Serisi,690.000 TL,2006,162.000,Bursa/Nilüfer
Renault,Clio,688.800 TL,2017,198.000,İstanbul/Esenyurt
Volkswagen,Golf,829.750 TL,2014,139.200,Samsun/Atakum
Honda,Civic,1.265.000 TL,2020,105.000,Kocaeli/Derince
Volkswagen,Passat,1.795.000 TL,2020,104.000,Tekirdağ/Çerkezköy
Renault,Megane,1.299.000 TL,2020,42.200,Bursa/İnegöl
Renault,Clio,329.000 TL,2005,248.000,Konya/Selçuklu
Mercedes-Benz,CLA,1.538.500 TL,2016,197.000,Ankara/Keçiören
Nissan,Micra,595.000 TL,2014,137.000,Muğla/Bodrum
Tofaş,Şahin,240.000 TL,2000,185.000,Manisa/Salihli
Opel,Corsa,255.000 TL,2003,173.000,Sakarya/Serdivan
Peugeot,508,1.195.750 TL,2020,127.963,İstanbul/Kartal
Volkswagen,Passat,1.295.000 TL,2017,165.000,İstanbul/Küçükçekmece
Toyota,Corolla,725.000 TL,2016,108.197,İstanbul/Esenyurt
Audi,A4,1.369.000 TL,2017,195.000,Ankara/Sincan
Tofaş,Serçe,109.000 TL,1993,100.000,Afyonkarahisar/Dinar
Ford,Focus,1.169.000 TL,2020,115.000,Ankara/Etimesgut
Renault,Clio,865.000 TL,2022,93.000,İstanbul/Küçükçekmece
Chevrolet,Cruze,485.000 TL,2012,183.000,Malatya/Yeşilyurt
Volkswagen,Golf,745.500 TL,2011,207.802,Ankara/Beypazarı
Fiat,Egea,754.000 TL,2021,50.000,İstanbul/Üsküdar
Volkswagen,Passat,1.399.000 TL,2019,175.000,Ankara/Sincan
Volkswagen,Polo,935.000 TL,2016,81.000,Muğla/Milas
Peugeot,301,434.500 TL,2013,133.000,İstanbul/Kartal
BMW,5 Serisi,3.795.000 TL,2023,20.782,İstanbul/Beylikdüzü
Skoda,Octavia,899.000 TL,2018,170.000,İstanbul/Bahçelievler
Hyundai,Elantra,1.195.000 TL,2021,51.000,Antalya/Kepez
Mercedes-Benz,CLA,2.517.000 TL,2023,19.700,İstanbul/Ümraniye
Volkswagen,Jetta,615.000 TL,2013,265.000,Gaziantep/Nizip
BMW,3 Serisi,2.250.000 TL,2019,95.000,Niğde/Merkez
Renault,Megane,997.750 TL,2022,75.000,İstanbul/Esenyurt
Hyundai,i20,359.000 TL,2012,329.000,İstanbul/Sultangazi
Toyota,Corolla,1.190.000 TL,2020,98.000,İstanbul/Ümraniye
Volkswagen,Passat,1.459.000 TL,2015,130.000,Ankara/Sincan
Fiat,Egea,630.000 TL,2020,148.000,Konya/Selçuklu
Renault,Clio,632.900 TL,2022,43.000,İstanbul/Avcılar
Toyota,Auris,619.000 TL,2009,125.000,Aydın/Efeler
Peugeot,308,685.000 TL,2015,258.000,Adana/Seyhan
Volkswagen,Passat,1.539.000 TL,2020,104.000,İstanbul/Ataşehir
Ford,Focus,825.000 TL,2016,198.000,Antalya/Muratpaşa
Opel,Corsa,705.000 TL,2016,85.500,Isparta/Gelendost
Volkswagen,Passat,1.448.000 TL,2021,72.000,İstanbul/Esenyurt
Ford,Focus,1.020.000 TL,2020,144.000,Kocaeli/Gebze
Renault,Clio,268.000 TL,2004,268.000,Balıkesir/Edremit
Audi,A3,885.000 TL,2012,220.000,Kırşehir/Merkez
Volkswagen,Golf,1.279.000 TL,2021,42.000,İstanbul/Esenyurt
Ford,Focus,989.000 TL,2017,54.000,Ankara/Sincan
Fiat,Egea,992.000 TL,2023,19.000,Ankara/Akyurt
Renault,Clio,869.000 TL,2022,45.000,İstanbul/Ataşehir
Mercedes-Benz,E Serisi,4.750.000 TL,2022,71.997,İstanbul/Beylikdüzü
Peugeot,301,408.000 TL,2016,253.000,Gaziantep/Şehitkamil
Volkswagen,Passat,1.299.750 TL,2015,190.000,İstanbul/Ümraniye
Fiat,Egea,629.000 TL,2019,69.000,Kırıkkale/Merkez
Volkswagen,Passat,525.000 TL,2007,320.000,Bursa/Osmangazi
Ford,Focus,549.000 TL,2010,270.000,Ankara/Keçiören
Ford,Focus,549.000 TL,2010,270.000,Ankara/Keçiören
Opel,Insignia,729.000 TL,2013,98.000,Ankara/Akyurt
BMW,3 Serisi,1.600.000 TL,2016,165.000,Konya/Selçuklu
Mercedes-Benz,E Serisi,4.200.000 TL,2023,35.000,Tekirdağ/Süleymanpaşa
Toyota,Corolla,1.259.000 TL,2021,55.000,Kocaeli/Gebze
Fiat,Egea,865.000 TL,2022,83.700,Malatya/Yeşilyurt
Renault,Megane,315.750 TL,2007,330.000,İstanbul/Sultangazi
BMW,3 Serisi,1.190.000 TL,2012,260.000,Kırşehir/Merkez
Citroen,C-Elysée,709.000 TL,2021,73.000,İstanbul/Kartal
Peugeot,508,1.995.000 TL,2023,11.444,İstanbul/Beylikdüzü
Fiat,Albea,279.000 TL,2006,279.000,Samsun/Çarşamba
Opel,Corsa,990.000 TL,2023,39.000,Bursa/Nilüfer
Fiat,Linea,375.000 TL,2009,237.000,Bursa/İnegöl
Honda,Civic,162.750 TL,1991,299.999,İstanbul/Sultangazi
BMW,5 Serisi,2.545.000 TL,2021,110.000,İstanbul/Ataşehir
Mercedes-Benz,E Serisi,1.270.000 TL,2004,252.000,Ankara/Yenimahalle
Mercedes-Benz,E Serisi,1.999.000 TL,2017,180.000,Ankara/Yenimahalle
Chrysler,Sebring,507.500 TL,2005,178.000,İstanbul/Kadıköy
BMW,1 Serisi,730.000 TL,2010,156.000,Tekirdağ/Süleymanpaşa
BMW,5 Serisi,1.534.900 TL,2016,162.000,Ankara/Çankaya
Renault,Symbol,545.000 TL,2017,177.000,İstanbul/Sultangazi
Peugeot,206,238.000 TL,2002,359.000,Gaziantep/Şahinbey
Renault,Clio,1.250.000 TL,2024,6.001,Tekirdağ/Süleymanpaşa
Fiat,Linea,409.900 TL,2016,190.000,İstanbul/Beylikdüzü
Seat,Leon,829.000 TL,2015,238.000,Eskişehir/Odunpazarı
Audi,A6,2.300.000 TL,2016,179.000,Tokat/Erbaa
Opel,Astra,969.000 TL,2020,33.750,Kırıkkale/Yahşihan
Seat,Ibiza,760.000 TL,2017,80.500,İstanbul/Bakırköy
Mercedes-Benz,C Serisi,2.325.000 TL,2021,86.000,İstanbul/Sancaktepe
Citroen,C-Elysée,555.000 TL,2020,75.000,Şanlıurfa/Haliliye
BMW,3 Serisi,695.000 TL,2006,293.000,Yozgat/Sarıkaya
Dacia,Sandero,599.999 TL,2016,173.000,İstanbul/Esenyurt
Volkswagen,Passat,1.500.000 TL,2019,214.500,Ağrı/Doğubayazıt
Toyota,Corolla,650.000 TL,2011,127.000,Tekirdağ/Malkara
Peugeot,307,414.900 TL,2004,191.000,Ankara/Akyurt
Renault,Fluence,745.000 TL,2015,163.000,Manisa/Salihli
Renault,Fluence,575.900 TL,2012,270.000,Hatay/Antakya
Fiat,Egea,879.000 TL,2022,38.000,Kocaeli/Gebze
Mini,Cooper,1.356.000 TL,2016,58.628,Antalya/Alanya
Ford,Focus,785.000 TL,2017,225.000,Adana/Çukurova
Toyota,Corolla,1.288.000 TL,2023,65.000,Kahramanmaraş/Onikişubat
Audi,A3,1.745.500 TL,2021,59.000,Adana/Seyhan
Volkswagen,Beetle,769.000 TL,2013,190.000,Ankara/Akyurt
Renault,Clio,545.000 TL,2014,185.000,İstanbul/Sarıyer
Kia,Picanto,805.750 TL,2020,22.500,Antalya/Alanya
BMW,7 Serisi,3.400.000 TL,2015,275.000,Ankara/Yenimahalle
BMW,4 Serisi,3.325.000 TL,2023,25.000,Amasya/Merkez
BMW,5 Serisi,2.375.000 TL,2019,83.000,İstanbul/Ümraniye
Renault,Clio,499.000 TL,2018,115.000,İstanbul/Bayrampaşa
Renault,Megane,1.285.000 TL,2023,23.000,Tekirdağ/Süleymanpaşa
Citroen,C4 X,1.289.000 TL,2023,40.000,Elazığ/Merkez
Renault,Clio,589.500 TL,2020,112.500,Ankara/Keçiören
Renault,Fluence,625.000 TL,2016,217.500,Hatay/Kırıkhan
Renault,Clio,739.000 TL,2020,165.000,Ordu/Fatsa
Dacia,Lodgy,860.000 TL,2021,57.000,Sivas/Merkez
Hyundai,Accent Era,409.000 TL,2007,229.000,Denizli/Honaz
Skoda,Rapid,715.000 TL,2016,193.000,Mardin/Artuklu
Renault,Laguna,515.750 TL,2010,270.000,Adana/Seyhan
Maserati,Quattroporte,2.870.000 TL,2006,128.000,İstanbul/Kadıköy
Fiat,Egea,769.000 TL,2021,34.000,Gaziantep/Şehitkamil
Renault,Megane,840.000 TL,2019,162.000,İstanbul/Bağcılar
Renault,Symbol,497.500 TL,2011,126.850,Zonguldak/Ereğli
BMW,7 Serisi,11.400.000 TL,2023,56.000,Ankara/Akyurt
Hyundai,Accent Blue,335.000 TL,2012,665.000,Mersin/Akdeniz
Fiat,Linea,368.500 TL,2014,285.000,Kocaeli/Körfez
Fiat,Siena,238.000 TL,2000,280.000,Karabük/Merkez
Honda,Civic,1.135.000 TL,2019,113.000,İstanbul/Üsküdar
Ford,Focus,1.187.000 TL,2021,24.000,İstanbul/Küçükçekmece
Toyota,Corolla,1.129.000 TL,2021,31.000,Elazığ/Merkez
Renault,Megane,1.000.000 TL,2020,168.000,Ağrı/Doğubayazıt
Opel,Corsa,335.000 TL,1999,232.000,Kütahya/Merkez
Skoda,Superb,1.340.000 TL,2016,185.800,Van/Tuşba
Peugeot,307,299.000 TL,2004,300.000,Ordu/Fatsa
BMW,3 Serisi,1.395.000 TL,2015,153.000,Antalya/Kumluca
Fiat,126 Bis,300.000 TL,1991,57.300,İstanbul/Kadıköy
Mercedes-Benz,E Serisi,1.270.000 TL,2012,275.000,Muğla/Köyceğiz
Volkswagen,Beetle,885.750 TL,2013,144.000,Sakarya/Arifiye
Renault,R 12,119.500 TL,1991,190.000,Adıyaman/Kahta
Volkswagen,Golf,1.127.500 TL,2015,102.850,İstanbul/Beyoğlu
Fiat,Egea,565.000 TL,2021,126.000,Antalya/Kepez
Fiat,Egea,565.000 TL,2021,126.000,Antalya/Kepez
Ford,Focus,868.500 TL,2015,162.000,Ankara/Mamak
Fiat,Egea,550.000 TL,2019,169.500,Van/İpekyolu
Renault,Megane,1.145.000 TL,2017,77.000,İstanbul/Beykoz
Opel,Astra,825.000 TL,2015,137.000,Kütahya/Simav
Opel,Astra,390.000 TL,2001,218.000,Bilecik/Bozüyük
Volkswagen,Polo,1.325.000 TL,2023,12.000,İstanbul/Kağıthane
Renault,Clio,626.750 TL,2017,91.000,Eskişehir/Odunpazarı
Seat,Leon,550.000 TL,2012,192.000,Nevşehir/Merkez
Renault,Megane,1.049.000 TL,2021,81.000,Elazığ/Merkez
Honda,Civic,1.249.900 TL,2021,104.000,Ankara/Akyurt
Peugeot,301,575.000 TL,2019,106.000,İstanbul/Bağcılar
Mercedes-Benz,E Serisi,3.490.000 TL,2020,47.000,İstanbul/Bağcılar
Fiat,Egea,679.500 TL,2021,80.878,Kocaeli/Gebze
Volkswagen,Passat,1.525.000 TL,2021,89.000,İstanbul/Eyüpsultan
Audi,A3,1.245.000 TL,2015,152.000,Zonguldak/Ereğli
Ford,Focus,1.169.900 TL,2020,148.000,İstanbul/Sancaktepe
Toyota,Corolla,999.750 TL,2021,235.423,İstanbul/Ataşehir
Mercedes-Benz,C Serisi,2.425.000 TL,2020,29.000,İstanbul/Bağcılar
Renault,Taliant,639.500 TL,2022,75.000,Antalya/Kepez
Volkswagen,Polo,1.135.000 TL,2021,81.000,İstanbul/Esenyurt
Toyota,Corolla,779.000 TL,2015,148.000,İstanbul/Esenyurt
Toyota,Corolla,875.000 TL,2013,116.900,Zonguldak/Ereğli
Toyota,Corolla,1.097.500 TL,2022,77.546,İstanbul/Ataşehir
Volkswagen,Passat,1.295.000 TL,2018,179.000,İstanbul/Bayrampaşa
Fiat,Linea,339.000 TL,2012,314.000,İstanbul/Küçükçekmece
Volkswagen,Passat,1.369.000 TL,2020,82.000,İstanbul/Başakşehir
Opel,Insignia,799.750 TL,2015,220.000,Kocaeli/Derince
Toyota,Corolla,1.045.000 TL,2020,81.000,İstanbul/Avcılar
Ford,Focus,1.079.000 TL,2023,73.000,Kocaeli/Gebze
Seat,Ibiza,775.750 TL,2020,17.000,Antalya/Muratpaşa
Skoda,Octavia,899.000 TL,2017,211.000,İstanbul/Avcılar
Toyota,Corolla,1.114.950 TL,2020,61.000,İstanbul/Sancaktepe
Skoda,Octavia,827.000 TL,2015,215.000,İstanbul/Ümraniye
BMW,5 Serisi,1.239.000 TL,2011,259.000,İstanbul/Kadıköy
Renault,Megane,568.000 TL,2012,236.000,Antalya/Serik
Opel,Astra-e,1.335.000 TL,2023,13.000,İstanbul/Bağcılar
Renault,Clio,859.000 TL,2022,69.000,İstanbul/Küçükçekmece
Honda,Civic,1.015.000 TL,2018,103.000,İstanbul/Avcılar
Fiat,Egea,865.000 TL,2022,70.000,Ankara/Çankaya
Seat,Leon,1.029.000 TL,2016,129.000,Kırıkkale/Merkez
Hyundai,i20,825.000 TL,2019,106.500,İstanbul/Bağcılar
Volkswagen,Passat,675.000 TL,2010,150.000,Zonguldak/Merkez
Honda,Civic,1.140.000 TL,2019,77.000,Antalya/Muratpaşa
Renault,Clio,789.000 TL,2023,58.000,Kocaeli/Gebze
Opel,Astra-e,1.365.000 TL,2023,14.000,İstanbul/Bağcılar
Renault,Clio,450.000 TL,2016,238.250,Ankara/Yenimahalle
Ford,Focus,655.000 TL,2012,199.900,Balıkesir/Karesi
Renault,Megane,509.000 TL,2008,210.000,Kırıkkale/Merkez
Skoda,Octavia,1.110.000 TL,2016,91.000,Erzurum/Yakutiye
Volkswagen,Golf,960.000 TL,2016,75.000,İstanbul/Maltepe
Seat,Leon,639.000 TL,2010,175.000,Aksaray/Ortaköy
Fiat,Egea,685.000 TL,2020,72.000,İstanbul/Bakırköy
Volkswagen,Jetta,780.000 TL,2014,227.000,Van/İpekyolu
Opel,Astra,674.000 TL,2016,191.000,Diyarbakır/Silvan
Mercedes-Benz,C Serisi,1.445.000 TL,2015,125.000,İstanbul/Sultangazi
Fiat,Egea,750.000 TL,2020,156.000,İstanbul/Bağcılar
Renault,Symbol,565.000 TL,2018,215.000,Kocaeli/Darıca
Mercedes-Benz,C Serisi,1.290.000 TL,2016,240.000,İstanbul/Küçükçekmece
Fiat,Egea,743.950 TL,2021,98.623,İstanbul/Sancaktepe
Fiat,Egea,743.950 TL,2021,98.623,İstanbul/Sancaktepe
Renault,Megane,1.065.000 TL,2017,145.000,İstanbul/Sultangazi
Opel,Insignia,698.000 TL,2012,198.000,Ankara/Pursaklar
BMW,5 Serisi,1.585.000 TL,2015,144.000,İstanbul/Küçükçekmece
BMW,5 Serisi,1.439.000 TL,2016,182.428,İstanbul/Ataşehir
BMW,3 Serisi,1.395.000 TL,2017,175.000,Ankara/Yenimahalle
Renault,Megane,959.500 TL,2019,170.000,Kocaeli/Çayırova
Volkswagen,VW CC,820.000 TL,2014,198.000,İstanbul/Başakşehir
Volvo,V40,1.235.000 TL,2018,139.000,Manisa/Soma
Fiat,Egea,647.500 TL,2020,123.000,Kahramanmaraş/Göksun
BMW,5 Serisi,3.750.000 TL,2023,83.000,Konya/Karatay
Fiat,Egea,829.000 TL,2022,93.000,İstanbul/Küçükçekmece
Audi,A6,4.950.000 TL,2023,7.000,Gaziantep/İslahiye
Renault,Megane,995.000 TL,2019,114.000,Zonguldak/Ereğli
BMW,1 Serisi,1.600.000 TL,2020,80.000,İstanbul/Büyükçekmece
Honda,Civic,790.000 TL,2007,96.000,Balıkesir/Karesi
Porsche,Taycan,7.490.000 TL,2023,6.001,İstanbul/Beşiktaş
Ford,Focus,800.000 TL,2016,250.000,Bolu/Merkez
Citroen,C3,778.000 TL,2023,48.000,Aydın/Efeler
Audi,S Serisi,2.130.000 TL,2016,105.000,İstanbul/Bağcılar
