Brand,Model,Price,Year,KM,City
Fiat,Egea,744.500 TL,2020,114.500,İstanbul/Esenyurt
Honda,Civic,1.265.750 TL,2021,66.000,İstanbul/Esenyurt
Honda,Civic,895.000 TL,2013,180.000,Osmaniye/Düziçi
Audi,A3,2.219.000 TL,2023,60.000,İstanbul/Bağcılar
Skoda,Superb,1.815.000 TL,2020,84.000,Trabzon/Akçaabat
Renault,Clio,669.000 TL,2016,190.000,Antalya/Manavgat
Mercedes-Benz,S Serisi,14.650.000 TL,2023,12.654,İstanbul/Kadıköy
Opel,Corsa,475.000 TL,2012,220.000,Antalya/Kepez
Seat,Leon,875.000 TL,2017,185.000,İstanbul/Sultangazi
Citroen,C-Elysée,729.000 TL,2021,59.000,İstanbul/Beylikdüzü
Hyundai,Getz,335.000 TL,2007,200.000,Kocaeli/Gebze
Opel,Vectra,395.000 TL,2002,188.000,Muğla/Bodrum
Citroen,AMI,326.000 TL,2023,8.500,Denizli/Merkezefendi
Honda,Civic,557.000 TL,2005,150.000,Bilecik/Bozüyük
BMW,5 Serisi,1.968.000 TL,2017,152.000,Kocaeli/Körfez
Skoda,Octavia,1.515.000 TL,2019,65.000,İstanbul/Başakşehir
Skoda,Scala,999.990 TL,2021,36.000,Kocaeli/Derince
Renault,Megane,749.999 TL,2016,223.000,Sakarya/Sapanca
Opel,Astra,575.000 TL,2011,186.000,Tekirdağ/Çerkezköy
Fiat,Egea,759.500 TL,2017,144.000,İstanbul/Ümraniye
Audi,A5,1.040.000 TL,2015,293.000,Bursa/Mudanya
Volkswagen,Jetta,715.000 TL,2013,228.000,Zonguldak/Çaycuma
Opel,Astra,835.000 TL,2020,88.000,İstanbul/Ümraniye
Volkswagen,Passat,1.265.000 TL,2019,121.000,İstanbul/Sultanbeyli
Fiat,Egea,839.500 TL,2022,87.000,İstanbul/Bağcılar
Fiat,Egea,739.500 TL,2021,100.500,Antalya/Kepez
BMW,1 Serisi,979.000 TL,2014,131.000,İstanbul/Esenyurt
BMW,5 Serisi,1.580.000 TL,2016,219.000,Malatya/Darende
Renault,Fluence,449.500 TL,2011,250.000,Kocaeli/Körfez
Renault,Megane,1.069.000 TL,2022,60.000,İstanbul/Bayrampaşa
Renault,Latitude,385.000 TL,2011,290.000,İstanbul/Fatih
Peugeot,206,225.750 TL,2009,245.000,İstanbul/Pendik
Opel,Corsa,545.000 TL,2017,52.000,Adana/Seyhan
Renault,Clio,589.000 TL,2015,183.000,Denizli/Pamukkale
Toyota,Corolla,582.500 TL,2008,231.000,Antalya/Elmalı
Peugeot,308,695.000 TL,2012,96.000,Kocaeli/İzmit
Mercedes-Benz,E Serisi,3.150.000 TL,2021,105.000,İstanbul/Esenler
Renault,Fluence,515.000 TL,2012,230.000,Kocaeli/Derince
Volkswagen,Jetta,959.000 TL,2015,158.000,Aydın/Söke
Citroen,C-Elysée,598.000 TL,2017,160.000,Ankara/Keçiören
Renault,Clio,579.000 TL,2020,129.000,İstanbul/Esenyurt
Fiat,Albea,285.000 TL,2007,297.000,İstanbul/Kağıthane
Mercedes-Benz,C Serisi,2.495.000 TL,2021,54.990,İstanbul/Bağcılar
Mercedes-Benz,E Serisi,3.899.000 TL,2022,75.000,Gaziantep/Şehitkamil
Mercedes-Benz,S Serisi,1.029.000 TL,2003,212.000,İstanbul/Gaziosmanpaşa
Volkswagen,Passat,1.240.000 TL,2018,119.000,İstanbul/Kadıköy
Mercedes-Benz,E Serisi,2.799.000 TL,2020,186.000,Konya/Karatay
Mercedes-Benz,CLA,1.370.000 TL,2016,198.000,Gaziantep/Şehitkamil
Mercedes-Benz,C Serisi,1.475.000 TL,2017,175.000,Gaziantep/Şehitkamil
